,tag_type,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,release_location_name,hatchery_location_name,release_location_rmis_basin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
328,NaN,1,3,2005,20060602,20060602,3F10511 100414 R,3F10511 100414 H,NaN,NaN,86,NaN,NaN,NaN,NaN,5000,252319,0,2266,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,252319,2266,0
329,NaN,3,4,2008,20090116,20090116,3F10511 100414 R,3F10511 100414 H,S,FR,6,NaN,NaN,NaN,NaN,5000,17348,0,202,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,17348,202,0
330,NaN,1,3,2019,20190801,20200604,3F10511 100414 R,3F10511 100414 H,NaN,VO,84,NaN,NaN,NaN,NaN,5000,491841,0,15159,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,491841,15159,0
331,NaN,2,NaN,2017,20190401,20190401,3F10511 100414 R,3F10511 100414 H,Y,VO,122,NaN,NaN,NaN,NaN,5000,161855,0,1223,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,161855,1223,0
332,NaN,2,NaN,2000,20010625,20010625,3F568 10 N0GG7M R,3F10511 100414 H,G,NaN,NaN,NaN,NaN,NaN,NaN,0,136600,NaN,NaN,NaN,NaN,LK TAPPS (PIER),VOIGHTS CR HATCHERY,PUYA,0,0,0,136600,0
333,NaN,5,3,2019,20200323,20200323,3F10511 100029 R,3F10511 100029 H,F,FR,53,NaN,NaN,NaN,NaN,0,98300,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,98300,0
334,NaN,5,3,2019,20200323,20200323,3F10511 100029 R,3F10511 100029 H,F,FR,53,NaN,NaN,NaN,NaN,0,98300,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,98300,0
335,NaN,5,3,2019,20200401,20200401,3F10511 100029 R,3F10511 100029 H,F,FR,59,NaN,NaN,NaN,NaN,0,98326,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,98326,0
336,NaN,5,3,2019,20200413,20200413,3F10511 100029 R,3F10511 100029 H,F,FR,56,NaN,NaN,NaN,NaN,0,83550,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,83550,0
337,NaN,2,NaN,2017,20190401,20190401,3F10511 100414 R,3F10511 100414 H,Y,VO,122,NaN,NaN,NaN,NaN,5000,287496,0,2904,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,287496,2904,0
338,NaN,5,3,2019,20200306,20200306,3F10511 100029 R,3F10511 100029 H,F,FR,43,NaN,NaN,NaN,NaN,0,222737,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,222737,0
339,NaN,5,3,2019,20200314,20200314,3F10511 100029 R,3F10511 100029 H,F,FR,43,NaN,NaN,NaN,NaN,0,231545,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,231545,0
340,13,2,NaN,2003,20050420,20050428,3F10511 100414 R,3F10511 100414 H,Y,NaN,129,5000,45257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,45257,0,0,0,0
341,13,2,NaN,2003,20050420,20050428,3F10511 100414 R,3F10511 100414 H,Y,NaN,129,0,45257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,45257,0,0,0
342,NaN,3,4,2006,20070413,20070416,3F10511 100414 R,3F10511 100414 H,S,NaN,205,NaN,NaN,NaN,NaN,5000,90835,0,1665,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,90835,1665,0
343,12,2,NaN,2017,20190301,20190301,3F10511 100027 R,3F10511 100027 H,Y,FR,131,5000,49479,NaN,NaN,5000,927,NaN,NaN,NaN,0.0184,CLARKS CR 10.0027,PUYALLUP HATCHERY,PUYA,49479,0,927,0,0
344,NaN,2,NaN,2009,20110401,20110412,3F10511 100414 R,3F10511 100414 H,Y,VO,132,NaN,NaN,NaN,NaN,5000,464498,0,2616,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,464498,2616,0
345,NaN,1,3,2012,20130601,20130601,3F10511 100414 R,3F10511 100414 H,NaN,FR,83,NaN,NaN,NaN,NaN,5000,700770,0,4230,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,700770,4230,0
346,13,2,NaN,2006,20080425,20080429,3F10511 100414 R,3F10511 100414 H,Y,NaN,130,0,45209,NaN,NaN,0,91,NaN,NaN,NaN,0.002,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,45209,0,91,0
