"","c","Estimate","conf_low","conf_high","AICc","delta_AICc"
"4","photo_diff",0.020392101863662,0.0110420456461867,0.0297421580811372,5571.1796776741,0
"3","season",0.021047146253209,0.0115813952945988,0.0305128972118192,5571.3499038652,0.170226191094116
"5","resid",0.0221317742797179,0.00797227124315946,0.0362912773162763,5577.9413464722,6.7616687980917
"2","secchi_depth",0.0134696715663128,0.00299048541990512,0.0239488577127205,5581.53794633341,10.3582686593036
"1","flow",0.00791311621110104,-0.00403609816004371,0.0198623305822458,5585.09897896507,13.9193012909664
