"","variable","relative_importance"
"7","hatchery",0.99994565395274
"5","residuals",0.999941268968963
"2","flow",0.654744599904684
"1","temperature difference",0.517117774675716
"4","lunar phase",0.474239228546535
"3","flow difference",0.351022046422526
"6","photoperiod difference",0.293972499705153
