"","c","d","logLik","AICc","num.param","num.iter","converged","delta_AICc"
"gradient1","resid","None",-887.434591342503,1830.32302883885,27,21,TRUE,0
"gradient","season","None",-891.321787780329,1838.0974217145,27,19,TRUE,7.77439287565267
