"","season","resid","temperature_difference","flow","flow_difference","lunar_phase","hatchery","AICc","deltaAICc"
"24",NA,-0.01,NA,NA,0.03,NA,NA,1381.32,62.72
"17",NA,NA,NA,NA,0.03,-0.01,NA,1381.32,62.72
"53",NA,NA,NA,NA,0.03,-0.01,-0.03,1381.52,62.92
"26",NA,NA,0,NA,0.03,NA,NA,1381.69,63.08
"15",NA,-0.01,NA,NA,NA,-0.01,NA,1381.87,63.27
"98",NA,-0.03,0,NA,0.03,NA,-0.04,1381.91,63.31
"63",NA,NA,0,NA,0.03,NA,-0.03,1381.94,63.34
"91",NA,-0.03,0,NA,NA,-0.01,-0.04,1382.26,63.65
"16",NA,NA,0,NA,NA,-0.01,NA,1382.27,63.66
"23",NA,-0.01,0,NA,NA,NA,NA,1382.41,63.81
"52",NA,NA,0.01,NA,NA,-0.01,-0.03,1382.45,63.85
"49",NA,-0.01,NA,NA,0.03,-0.01,NA,1383.05,64.45
"118",NA,-0.03,0,NA,0.03,-0.01,-0.04,1383.41,64.81
"60",NA,-0.01,0,NA,0.03,NA,NA,1383.47,64.87
"51",NA,NA,0,NA,0.03,-0.01,NA,1383.48,64.88
"93",NA,NA,0,NA,0.03,-0.01,-0.03,1383.68,65.08
"48",NA,-0.01,0,NA,NA,-0.01,NA,1384.03,65.43
"90",NA,-0.01,0,NA,0.03,-0.01,NA,1385.21,66.61
