"","species","total_releases","overall_average_number_release","overall_average_release","hatcheries"
"1","chinook",26,1.52941176470588,987909.284313726,"VOIGHTS CR HATCHERY, COWSKULL ACCLIM POND; VOIGHTS CR HATCHERY; COWSKULL ACCLIM POND, VOIGHTS CR HATCHERY"
"2","coho",35,1.94444444444444,464371.222222222,"COWSKULL ACCLIM POND, VOIGHTS CR HATCHERY; VOIGHTS CR HATCHERY; VOIGHTS CR HATCHERY, COWSKULL ACCLIM POND"
